treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,HOK,1,2,5,9A,30,0.779,2.662110209,2.281503631,590
AB,HOK,HOK,HOK,1,2,5,9B,30,0.507,1.732592909,1.351986331,590
P,SEK,HOK,HOK,1,2,5,9C,30,0.526,1.797522426,1.416915848,590
AB,SEK,HOK,HOK,1,2,5,9D,30,0.493,1.684750107,1.304143528,590
P,SEK,SEK,HOK,1,2,5,9E,30,0.452,1.544639043,1.164032465,590
AB,SEK,SEK,HOK,1,2,5,9F,30,0.572,1.954720205,1.574113627,590
P,HOK,SEK,HOK,1,2,5,9G,30,2.058,7.032891927,6.652285348,590
AB,HOK,SEK,HOK,1,2,5,9H,30,1.253,4.281930799,3.90132422,590
P,HOK,HOK,HOK,1,1,5,10A,30,1.052,3.595044853,3.214438274,590
AB,HOK,HOK,HOK,1,1,5,10B,30,0.921,3.147372918,2.766766339,590
P,SEK,HOK,HOK,1,1,5,10C,30,0.458,1.565143101,1.184536523,590
AB,SEK,HOK,HOK,1,1,5,10D,30,0.851,2.908158906,2.527552328,590
P,SEK,SEK,HOK,1,1,5,10E,30,0.471,1.60956856,1.228961982,590
AB,SEK,SEK,HOK,1,1,5,10F,30,0.454,1.551473729,1.170867151,590
P,HOK,SEK,HOK,1,1,5,10G,30,0.594,2.029901751,1.649295173,590
AB,HOK,SEK,HOK,1,1,5,10H,30,0.484,1.65399402,1.273387441,590
P,HOK,HOK,SEK,2,5,5,1A,120,0.619,3.211413748,2.634241245,590
AB,HOK,HOK,SEK,2,5,5,1B,120,1.178,6.11154345,5.534370947,590
P,SEK,HOK,SEK,2,5,5,1C,120,0.679,3.522697795,2.945525292,590
AB,SEK,HOK,SEK,2,5,5,1D,120,0.945,4.902723735,4.325551232,590
P,SEK,SEK,SEK,2,5,5,1E,120,1.389,7.206225681,6.629053178,590
AB,SEK,SEK,SEK,2,5,5,1F,120,0.343,1.779507134,1.20233463,590
P,HOK,SEK,SEK,2,5,5,1G,120,0.492,2.552529183,1.97535668,590
AB,HOK,SEK,SEK,2,5,5,1H,120,1.068,5.540856031,4.963683528,590
P,HOK,HOK,SEK,2,4,5,2A,120,0.565,2.931258106,2.354085603,590
AB,HOK,HOK,SEK,2,4,5,2B,120,0.922,4.783398184,4.206225681,590
P,SEK,HOK,SEK,2,4,5,2C,120,0.488,2.531776913,1.95460441,590
AB,SEK,HOK,SEK,2,4,5,2D,120,0.424,2.199740597,1.622568093,590
P,SEK,SEK,SEK,2,4,5,2E,120,0.557,2.889753567,2.312581064,590
AB,SEK,SEK,SEK,2,4,5,2F,120,0.375,1.945525292,1.368352789,590
P,HOK,SEK,SEK,2,4,5,2G,120,0.695,3.605706874,3.028534371,590
AB,HOK,SEK,SEK,2,4,5,2H,120,0.44,2.282749676,1.705577173,590
P,HOK,HOK,SEK,2,3,5,3A,120,0.396,2.054474708,1.477302205,590
AB,HOK,HOK,SEK,2,3,5,3B,120,0.726,3.766536965,3.189364462,590
P,SEK,HOK,SEK,2,3,5,3C,120,1.525,7.911802853,7.33463035,590
AB,SEK,HOK,SEK,2,3,5,3D,120,0.271,1.405966278,0.828793774,590
P,SEK,SEK,SEK,2,3,5,3E,120,1.156,5.997405966,5.420233463,590
AB,SEK,SEK,SEK,2,3,5,3F,120,0.409,2.121919585,1.544747082,590
P,HOK,SEK,SEK,2,3,5,3G,120,0.375,1.945525292,1.368352789,590
AB,HOK,SEK,SEK,2,3,5,3H,120,0.456,2.365758755,1.788586252,590
P,HOK,HOK,SEK,2,2,5,4A,120,0.581,3.014267185,2.437094682,590
AB,HOK,HOK,SEK,2,2,5,4B,120,0.873,4.529182879,3.952010376,590
P,SEK,HOK,SEK,2,2,5,4C,120,0.395,2.049286641,1.472114137,590
AB,SEK,HOK,SEK,2,2,5,4D,120,1.266,6.568093385,5.990920882,590
P,SEK,SEK,SEK,2,2,5,4E,120,1.349,6.998702983,6.42153048,590
AB,SEK,SEK,SEK,2,2,5,4F,120,0.426,2.210116732,1.632944228,590
P,HOK,SEK,SEK,2,2,5,4G,120,1.032,5.354085603,4.7769131,590
AB,HOK,SEK,SEK,2,2,5,4H,120,0.429,2.225680934,1.648508431,590
P,HOK,HOK,SEK,2,1,5,5A,120,1.664,8.632944228,8.055771725,590
AB,HOK,HOK,SEK,2,1,5,5B,120,1.286,6.671854734,6.094682231,590
