date,hours,time,temp_c,light_lux
07/02/2023 00:00:00,8:44:32,PM,19.13,159.68
07/02/2023 00:00:00,9:44:32,PM,18.79,1.66
07/02/2023 00:00:00,10:44:32,PM,18.32,0.00
07/02/2023 00:00:00,11:44:32,PM,17.97,0.00
07/03/2023 00:00:00,12:44:32,AM,17.59,0.00
07/03/2023 00:00:00,1:44:32,AM,17.29,0.00
07/03/2023 00:00:00,2:44:32,AM,16.94,0.00
07/03/2023 00:00:00,3:44:32,AM,16.64,0.00
07/03/2023 00:00:00,4:44:32,AM,16.34,0.00
07/03/2023 00:00:00,5:44:32,AM,16.08,117.12
07/03/2023 00:00:00,6:44:32,AM,15.96,551.68
07/03/2023 00:00:00,7:44:32,AM,15.91,821.12
07/03/2023 00:00:00,8:44:32,AM,15.96,993.60
07/03/2023 00:00:00,9:44:32,AM,16.39,3511.04
07/03/2023 00:00:00,10:44:32,AM,17.50,5998.08
07/03/2023 00:00:00,11:44:32,AM,18.49,10577.92
07/03/2023 00:00:00,12:44:32,PM,19.52,12661.76
07/03/2023 00:00:00,1:44:32,PM,20.20,25036.80
07/03/2023 00:00:00,2:44:32,PM,20.07,10444.80
07/03/2023 00:00:00,3:44:32,PM,19.09,3013.12
07/03/2023 00:00:00,4:44:32,PM,19.30,2216.96
07/03/2023 00:00:00,5:44:32,PM,19.47,1529.60
07/03/2023 00:00:00,6:44:32,PM,19.60,962.88
07/03/2023 00:00:00,7:44:32,PM,19.60,529.60
07/03/2023 00:00:00,8:44:32,PM,19.39,148.00
07/03/2023 00:00:00,9:44:32,PM,19.00,1.24
07/03/2023 00:00:00,10:44:32,PM,18.66,0.00
07/03/2023 00:00:00,11:44:32,PM,18.19,0.00
07/04/2023 00:00:00,12:44:32,AM,17.89,0.00
07/04/2023 00:00:00,1:44:32,AM,17.59,0.00
07/04/2023 00:00:00,2:44:32,AM,17.20,0.00
07/04/2023 00:00:00,3:44:32,AM,16.94,0.00
07/04/2023 00:00:00,4:44:32,AM,16.64,0.00
07/04/2023 00:00:00,5:44:32,AM,16.43,138.04
07/04/2023 00:00:00,6:44:32,AM,16.30,618.72
07/04/2023 00:00:00,7:44:32,AM,16.26,1219.84
07/04/2023 00:00:00,8:44:32,AM,16.43,1774.08
07/04/2023 00:00:00,9:44:32,AM,16.81,3791.36
07/04/2023 00:00:00,10:44:32,AM,17.80,5880.32
07/04/2023 00:00:00,11:44:32,AM,18.74,8448.00
07/04/2023 00:00:00,12:44:32,PM,19.82,13578.24
07/04/2023 00:00:00,1:44:32,PM,20.25,23531.52
07/04/2023 00:00:00,2:44:32,PM,20.89,10951.68
07/04/2023 00:00:00,3:44:32,PM,19.39,1541.12
07/04/2023 00:00:00,4:44:32,PM,19.69,1200.00
07/04/2023 00:00:00,5:44:32,PM,19.99,927.04
07/04/2023 00:00:00,6:44:32,PM,20.29,648.16
07/04/2023 00:00:00,7:44:32,PM,20.29,472.64
07/04/2023 00:00:00,8:44:32,PM,20.16,203.20
07/04/2023 00:00:00,9:44:32,PM,19.86,1.66
07/04/2023 00:00:00,10:44:32,PM,19.39,0.00
07/04/2023 00:00:00,11:44:32,PM,19.00,0.00
07/05/2023 00:00:00,12:44:32,AM,18.66,0.00
07/05/2023 00:00:00,1:44:32,AM,18.32,0.00
07/05/2023 00:00:00,2:44:32,AM,18.02,0.00
07/05/2023 00:00:00,3:44:32,AM,17.63,0.00
07/05/2023 00:00:00,4:44:32,AM,17.37,0.00
07/05/2023 00:00:00,5:44:32,AM,17.20,95.28
07/05/2023 00:00:00,6:44:32,AM,16.99,436.80
07/05/2023 00:00:00,7:44:32,AM,17.03,1086.72
07/05/2023 00:00:00,8:44:32,AM,16.99,1298.24
07/05/2023 00:00:00,9:44:32,AM,17.46,3598.08
07/05/2023 00:00:00,10:44:32,AM,18.66,7841.28
07/05/2023 00:00:00,11:44:32,AM,19.73,9671.68
07/05/2023 00:00:00,12:44:32,PM,20.72,14438.40
07/05/2023 00:00:00,1:44:32,PM,21.23,15211.52
07/05/2023 00:00:00,2:44:32,PM,21.53,12308.48
07/05/2023 00:00:00,3:44:32,PM,19.77,1165.76
07/05/2023 00:00:00,4:44:32,PM,20.03,816.32
07/05/2023 00:00:00,5:44:32,PM,20.29,554.56
07/05/2023 00:00:00,6:44:32,PM,20.55,415.68
07/05/2023 00:00:00,7:44:32,PM,20.63,291.04
07/05/2023 00:00:00,8:44:32,PM,20.46,117.84
07/05/2023 00:00:00,9:44:32,PM,20.20,0.83
07/05/2023 00:00:00,10:44:32,PM,19.73,0.00
07/05/2023 00:00:00,11:44:32,PM,19.26,0.00
07/06/2023 00:00:00,12:44:32,AM,18.87,0.00
07/06/2023 00:00:00,1:44:32,AM,18.57,0.00
07/06/2023 00:00:00,2:44:32,AM,18.27,0.00
07/06/2023 00:00:00,3:44:32,AM,17.97,0.00
07/06/2023 00:00:00,4:44:32,AM,17.67,0.00
07/06/2023 00:00:00,5:44:32,AM,17.41,83.60
07/06/2023 00:00:00,6:44:32,AM,17.29,381.12
07/06/2023 00:00:00,7:44:32,AM,17.33,682.56
07/06/2023 00:00:00,8:44:32,AM,17.33,858.56
07/06/2023 00:00:00,9:44:32,AM,17.54,1510.40
07/06/2023 00:00:00,10:44:32,AM,17.89,2110.08
07/06/2023 00:00:00,11:44:32,AM,18.27,2547.84
07/06/2023 00:00:00,12:44:32,PM,20.07,15139.84
07/06/2023 00:00:00,1:44:32,PM,21.15,14039.04
