date,hours,time,temp_c,light_lux
07/01/2023 00:00:00,4:45:16,PM,18.57,83.20
07/01/2023 00:00:00,5:45:16,PM,18.14,66.42
07/01/2023 00:00:00,6:45:16,PM,17.46,74.66
07/01/2023 00:00:00,7:45:16,PM,16.90,36.81
07/01/2023 00:00:00,8:45:16,PM,16.51,7.50
07/01/2023 00:00:00,9:45:16,PM,16.26,0.00
07/01/2023 00:00:00,10:45:16,PM,16.51,0.00
07/01/2023 00:00:00,11:45:16,PM,16.34,0.00
07/02/2023 00:00:00,12:45:16,AM,17.54,0.00
07/02/2023 00:00:00,1:45:16,AM,15.31,0.00
07/02/2023 00:00:00,2:45:16,AM,14.88,0.00
07/02/2023 00:00:00,3:45:16,AM,14.58,0.00
07/02/2023 00:00:00,4:45:16,AM,14.24,0.00
07/02/2023 00:00:00,5:45:16,AM,13.98,4.58
07/02/2023 00:00:00,6:45:16,AM,13.77,15.25
07/02/2023 00:00:00,7:45:16,AM,13.68,40.31
07/02/2023 00:00:00,8:45:16,AM,13.85,109.08
07/02/2023 00:00:00,9:45:16,AM,14.15,166.24
07/02/2023 00:00:00,10:45:16,AM,14.50,259.68
07/02/2023 00:00:00,11:45:16,AM,15.57,2012.16
07/02/2023 00:00:00,12:45:16,PM,15.96,974.08
07/02/2023 00:00:00,1:45:16,PM,16.86,4807.68
07/02/2023 00:00:00,2:45:16,PM,17.59,242.80
07/02/2023 00:00:00,3:45:16,PM,18.14,162.16
07/02/2023 00:00:00,4:45:16,PM,18.19,95.84
07/02/2023 00:00:00,5:45:16,PM,17.84,69.76
07/02/2023 00:00:00,6:45:16,PM,17.20,45.30
07/02/2023 00:00:00,7:45:16,PM,16.60,25.08
07/02/2023 00:00:00,8:45:16,PM,16.21,10.42
07/02/2023 00:00:00,9:45:16,PM,16.00,0.00
07/02/2023 00:00:00,10:45:16,PM,16.17,0.00
07/02/2023 00:00:00,11:45:16,PM,16.13,0.00
07/03/2023 00:00:00,12:45:16,AM,17.46,0.20
07/03/2023 00:00:00,1:45:16,AM,17.16,0.00
07/03/2023 00:00:00,2:45:16,AM,15.23,0.00
07/03/2023 00:00:00,3:45:16,AM,14.71,0.00
07/03/2023 00:00:00,4:45:16,AM,14.37,0.00
07/03/2023 00:00:00,5:45:16,AM,14.07,6.46
07/03/2023 00:00:00,6:45:16,AM,13.73,26.80
07/03/2023 00:00:00,7:45:16,AM,13.77,61.68
07/03/2023 00:00:00,8:45:16,AM,13.98,126.08
07/03/2023 00:00:00,9:45:16,AM,14.28,164.72
07/03/2023 00:00:00,10:45:16,AM,14.71,399.20
07/03/2023 00:00:00,11:45:16,AM,15.61,3622.40
07/03/2023 00:00:00,12:45:16,PM,16.17,695.04
07/03/2023 00:00:00,1:45:16,PM,17.07,1173.12
07/03/2023 00:00:00,2:45:16,PM,17.67,283.84
07/03/2023 00:00:00,3:45:16,PM,17.97,256.96
07/03/2023 00:00:00,4:45:16,PM,17.97,208.16
07/03/2023 00:00:00,5:45:16,PM,17.63,133.36
07/03/2023 00:00:00,6:45:16,PM,17.16,82.28
07/03/2023 00:00:00,7:45:16,PM,16.73,40.20
07/03/2023 00:00:00,8:45:16,PM,16.39,10.01
